City,Country,Continent,Year,Opening Ceremony,Closing Ceremony,Season,Games
Athens,Greece,Europe,1896,April 6,April 15,Summer,1896 Summer
Paris,France,Europe,1900,May 14,October 28,Summer,1900 Summer
St. Louis,United States,North America,1904,July 1,November 23,Summer,1904 Summer
London,United Kingdom,Europe,1908,April 27,October 31,Summer,1908 Summer
Stockholm,Sweden,Europe,1912,May 5,July 22,Summer,1912 Summer
Berlin,Germany,Europe,1916,Cancelled due to World War I,,Summer,1916 Summer
Antwerp,Belgium,Europe,1920,April 20,September 12,Summer,1920 Summer
Chamonix,France,Europe,1924,January 25,February 4,Winter,1924 Winter
Paris,France,Europe,1924,May 4,July 27,Summer,1924 Summer
St. Moritz,Switzerland,Europe,1928,February 11,February 19,Winter,1928 Winter
Amsterdam,Netherlands,Europe,1928,May 17,August 12,Summer,1928 Summer
Lake Placid,United States,North America,1932,February 4,February 15,Winter,1932 Winter
Los Angeles,United States,North America,1932,July 30,August 14,Summer,1932 Summer
Garmisch-Partenkirchen,Nazi Germany,Europe,1936,February 6,February 16,Winter,1936 Winter
Berlin,Nazi Germany,Europe,1936,August 1,August 16,Summer,1936 Summer
"Sapporo
 Garmisch-Partenkirchen","Empire of Japan
  Nazi Germany","Asia
 Europe",1940,Cancelled due to World War II,,Winter,1940 Winter
"Tokyo
 Helsinki","Empire of Japan
  Finland","Asia
 Europe",1940,Cancelled due to World War II,,Summer,1940 Summer
Cortina d'Ampezzo,Italy,Europe,1944,Cancelled due to World War II,,Winter,1944 Winter
London,United Kingdom,Europe,1944,Cancelled due to World War II,,Summer,1944 Summer
St. Moritz,Switzerland,Europe,1948,January 30,February 8,Winter,1948 Winter
London,United Kingdom,Europe,1948,July 29,August 14,Summer,1948 Summer
Oslo,Norway,Europe,1952,February 14,February 25,Winter,1952 Winter
Helsinki,Finland,Europe,1952,July 19,August 3,Summer,1952 Summer
Cortina d'Ampezzo,Italy,Europe,1956,January 26,February 5,Winter,1956 Winter
Melbourne,Australia,Oceania,1956,November 22,December 8,Summer,1956 Summer
Squaw Valley,United States,North America,1960,February 18,February 28,Winter,1960 Winter
Rome,Italy,Europe,1960,August 25,September 11,Summer,1960 Summer
Innsbruck,Austria,Europe,1964,January 29,February 9,Winter,1964 Winter
Tokyo,Japan,Asia,1964,October 10,October 24,Summer,1964 Summer
Grenoble,France,Europe,1968,February 6,February 18,Winter,1968 Winter
Mexico City,Mexico,North America,1968,October 12,October 27,Summer,1968 Summer
Sapporo,Japan,Asia,1972,February 3,February 13,Winter,1972 Winter
Munich,West Germany,Europe,1972,August 26,September 11,Summer,1972 Summer
Innsbruck,Austria,Europe,1976,February 4,February 15,Winter,1976 Winter
Montreal,Canada,North America,1976,July 17,August 1,Summer,1976 Summer
Lake Placid,United States,North America,1980,February 12,February 24,Winter,1980 Winter
Moscow,Soviet Union,Europe,1980,July 19,August 3,Summer,1980 Summer
Sarajevo,Yugoslavia,Europe,1984,February 7,February 19,Winter,1984 Winter
Los Angeles,United States,North America,1984,July 28,August 12,Summer,1984 Summer
Calgary,Canada,North America,1988,February 13,February 28,Winter,1988 Winter
Seoul,South Korea,Asia,1988,September 17,October 2,Summer,1988 Summer
Albertville,France,Europe,1992,February 8,February 23,Winter,1992 Winter
Barcelona,Spain,Europe,1992,July 25,August 9,Summer,1992 Summer
Lillehammer,Norway,Europe,1994,February 12,February 27,Winter,1994 Winter
Atlanta,United States,North America,1996,July 19,August 4,Summer,1996 Summer
Nagano,Japan,Asia,1998,February 7,February 22,Winter,1998 Winter
Sydney,Australia,Oceania,2000,September 15,October 1,Summer,2000 Summer
Salt Lake City,United States,North America,2002,February 8,February 24,Winter,2002 Winter
Athens,Greece,Europe,2004,August 13,August 29,Summer,2004 Summer
Turin,Italy,Europe,2006,February 10,February 26,Winter,2006 Winter
Beijing,China,Asia,2008,August 8,August 24,Summer,2008 Summer
Vancouver,Canada,North America,2010,February 12,February 28,Winter,2010 Winter
London,United Kingdom,Europe,2012,July 27,August 12,Summer,2012 Summer
Sochi,Russia,Europe,2014,February 7,February 23,Winter,2014 Winter
Rio de Janeiro,Brazil,South America,2016,August 5,August 21,Summer,2016 Summer
Pyeongchang,South Korea,Asia,2018,February 9,February 25,Winter,2018 Winter
Tokyo,Japan,Asia,2020,July 24,August 9,Summer,2020 Summer
Beijing,China,Asia,2022,February 4,February 20,Winter,2022 Winter
