Year,Season,NOC,Athlets,Medals,Gold,Silver,Bronze
1948,Summer,AFG,25,0.0,0.0,0.0,0.0
1948,Summer,ARG,295,0.012910798122065728,0.010380622837370242,0.02464788732394366,0.0035842293906810036
1948,Summer,AUS,103,0.018779342723004695,0.006920415224913495,0.03169014084507042,0.017921146953405017
1948,Summer,AUT,239,0.009389671361502348,0.006920415224913495,0.007042253521126761,0.014336917562724014
1948,Summer,BEL,182,0.017605633802816902,0.01730103806228374,0.007042253521126761,0.02867383512544803
1948,Summer,BER,28,0.0,0.0,0.0,0.0
1948,Summer,BRA,105,0.011737089201877934,0.0,0.0,0.035842293906810034
1948,Summer,CAN,188,0.008215962441314555,0.0,0.007042253521126761,0.017921146953405017
1948,Summer,CHI,72,0.0,0.0,0.0,0.0
1948,Summer,CHN,33,0.0,0.0,0.0,0.0
1948,Summer,COL,11,0.0,0.0,0.0,0.0
1948,Summer,CUB,112,0.002347417840375587,0.0,0.007042253521126761,0.0
1948,Summer,DEN,253,0.05985915492957746,0.02422145328719723,0.05985915492957746,0.0967741935483871
1948,Summer,EGY,166,0.005868544600938967,0.006920415224913495,0.007042253521126761,0.0035842293906810036
1948,Summer,ESP,84,0.0035211267605633804,0.0,0.01056338028169014,0.0
1948,Summer,FIN,215,0.03873239436619718,0.058823529411764705,0.028169014084507043,0.02867383512544803
1948,Summer,FRA,433,0.08450704225352113,0.08996539792387544,0.07746478873239436,0.08602150537634409
1948,Summer,GBR,590,0.0715962441314554,0.02422145328719723,0.14788732394366197,0.043010752688172046
1948,Summer,GRE,97,0.0,0.0,0.0,0.0
1948,Summer,GUY,7,0.0,0.0,0.0,0.0
1948,Summer,HUN,222,0.07276995305164319,0.05190311418685121,0.0880281690140845,0.07885304659498207
1948,Summer,IND,89,0.023474178403755867,0.06920415224913495,0.0,0.0
1948,Summer,IRI,39,0.0011737089201877935,0.0,0.0,0.0035842293906810036
1948,Summer,IRL,83,0.0011737089201877935,0.0,0.0,0.0035842293906810036
1948,Summer,IRQ,13,0.0,0.0,0.0,0.0
1948,Summer,ISL,27,0.0,0.0,0.0,0.0
1948,Summer,ITA,310,0.07863849765258216,0.0726643598615917,0.11267605633802817,0.05017921146953405
1948,Summer,JAM,26,0.0035211267605633804,0.0034602076124567475,0.007042253521126761,0.0
1948,Summer,KOR,48,0.002347417840375587,0.0,0.0,0.007168458781362007
1948,Summer,LIB,9,0.0,0.0,0.0,0.0
1948,Summer,LIE,2,0.0,0.0,0.0,0.0
1948,Summer,LUX,115,0.0,0.0,0.0,0.0
1948,Summer,MEX,149,0.01056338028169014,0.01384083044982699,0.0035211267605633804,0.014336917562724014
1948,Summer,MLT,1,0.0,0.0,0.0,0.0
1948,Summer,MON,4,0.0,0.0,0.0,0.0
1948,Summer,MYA,5,0.0,0.0,0.0,0.0
1948,Summer,NED,187,0.04929577464788732,0.02768166089965398,0.007042253521126761,0.11469534050179211
1948,Summer,NOR,97,0.02112676056338028,0.010380622837370242,0.014084507042253521,0.03942652329749104
1948,Summer,NZL,8,0.0,0.0,0.0,0.0
1948,Summer,PAK,44,0.0,0.0,0.0,0.0
1948,Summer,PAN,2,0.002347417840375587,0.0,0.0,0.007168458781362007
1948,Summer,PER,49,0.0011737089201877935,0.0034602076124567475,0.0,0.0
1948,Summer,PHI,31,0.0,0.0,0.0,0.0
1948,Summer,POL,52,0.002347417840375587,0.0034602076124567475,0.0,0.0035842293906810036
1948,Summer,POR,65,0.005868544600938967,0.0,0.007042253521126761,0.010752688172043012
1948,Summer,PUR,9,0.0011737089201877935,0.0,0.0,0.0035842293906810036
1948,Summer,RSA,43,0.007042253521126761,0.006920415224913495,0.007042253521126761,0.007168458781362007
1948,Summer,SGP,1,0.0,0.0,0.0,0.0
1948,Summer,SRI,10,0.0011737089201877935,0.0,0.0035211267605633804,0.0
1948,Summer,SUI,287,0.04225352112676056,0.01730103806228374,0.0880281690140845,0.021505376344086023
1948,Summer,SWE,223,0.0880281690140845,0.10380622837370242,0.0528169014084507,0.10752688172043011
1948,Summer,SYR,1,0.0,0.0,0.0,0.0
1948,Summer,TCH,153,0.023474178403755867,0.04844290657439446,0.01056338028169014,0.010752688172043012
1948,Summer,TTO,9,0.0011737089201877935,0.0,0.0035211267605633804,0.0
1948,Summer,TUR,87,0.014084507042253521,0.020761245674740483,0.014084507042253521,0.007168458781362007
1948,Summer,URU,79,0.0035211267605633804,0.0,0.0035211267605633804,0.007168458781362007
1948,Summer,USA,424,0.1784037558685446,0.30103806228373703,0.1056338028169014,0.12544802867383512
1948,Summer,VEN,2,0.0,0.0,0.0,0.0
1948,Summer,YUG,162,0.018779342723004695,0.0,0.056338028169014086,0.0
1948,Winter,ARG,20,0.0,0.0,0.0,0.0
1948,Winter,AUT,84,0.05925925925925926,0.024390243902439025,0.0625,0.08695652173913043
1948,Winter,BEL,19,0.044444444444444446,0.04878048780487805,0.08333333333333333,0.0
1948,Winter,BUL,9,0.0,0.0,0.0,0.0
1948,Winter,CAN,47,0.1111111111111111,0.3170731707317073,0.0,0.043478260869565216
1948,Winter,CHI,11,0.0,0.0,0.0,0.0
1948,Winter,DEN,2,0.0,0.0,0.0,0.0
1948,Winter,ESP,12,0.0,0.0,0.0,0.0
1948,Winter,FIN,45,0.06666666666666667,0.024390243902439025,0.125,0.043478260869565216
1948,Winter,FRA,60,0.037037037037037035,0.04878048780487805,0.020833333333333332,0.043478260869565216
1948,Winter,GBR,78,0.014814814814814815,0.0,0.0,0.043478260869565216
1948,Winter,GRE,2,0.0,0.0,0.0,0.0
1948,Winter,HUN,43,0.014814814814814815,0.0,0.041666666666666664,0.0
1948,Winter,ISL,8,0.0,0.0,0.0,0.0
1948,Winter,ITA,81,0.007407407407407408,0.024390243902439025,0.0,0.0
1948,Winter,KOR,7,0.0,0.0,0.0,0.0
1948,Winter,LIB,3,0.0,0.0,0.0,0.0
